wavelength[μm],reflectance
3.15804,0.0641
3.16468,0.06631
3.17131,0.06882
3.17795,0.07114
3.18458,0.0733
3.19122,0.07614
3.19785,0.07841
3.20449,0.08045
3.21113,0.08234
3.21776,0.08405
3.22440,0.08687
3.23104,0.08988
3.23768,0.09213
3.24432,0.09378
3.25096,0.09498
3.25760,0.097
3.26424,0.09853
3.27088,0.09984
3.27752,0.10192
3.28416,0.10501
3.29080,0.10785
3.29744,0.11053
3.30408,0.11323
3.31073,0.11579
3.31737,0.11747
3.32401,0.11979
3.33066,0.12237
3.33730,0.12469
3.34395,0.12641
3.35059,0.12866
3.35724,0.13123
3.36388,0.13398
3.37053,0.13655
3.37717,0.13863
3.38382,0.14007
3.39047,0.14215
3.39712,0.145
3.40376,0.14771
3.41041,0.14921
3.41706,0.1505
3.42371,0.15264
3.43036,0.15547
3.43701,0.15815
3.44366,0.15961
3.45031,0.16086
3.45696,0.1635
3.46361,0.16647
3.47026,0.16936
3.47692,0.17161
3.48357,0.17453
3.49022,0.17738
3.49687,0.18001
3.50353,0.18232
3.51018,0.18519
3.51684,0.18855
3.52349,0.19247
3.53015,0.19564
3.53680,0.19885
3.54346,0.20219
3.55011,0.20556
3.55677,0.20855
3.56343,0.21109
3.57008,0.21341
3.57674,0.21607
3.58340,0.21831
3.59006,0.22017
3.59672,0.22162
3.60338,0.22343
3.61004,0.22432
3.61670,0.2241
3.62336,0.22559
3.63002,0.22817
3.63668,0.22977
3.64334,0.23077
3.65000,0.23268
3.65667,0.23499
3.66333,0.23543
3.66999,0.23613
3.67665,0.23748
3.68332,0.24015
3.68998,0.24273
3.69665,0.2438
3.70331,0.24356
3.70998,0.24411
3.71664,0.24441
3.72331,0.24385
3.72998,0.24374
3.73664,0.24454
3.74331,0.24547
3.74998,0.24524
3.75665,0.2441
3.76331,0.24313
3.76998,0.24243
3.77665,0.2411
3.78332,0.23853
3.78999,0.23696
3.79666,0.23727
3.80333,0.23847
3.81000,0.23883
3.81667,0.23799
3.82335,0.23849
3.83002,0.24013
3.83669,0.24122
3.84336,0.23971
3.85004,0.23741
3.85671,0.23588
3.86339,0.23522
3.87006,0.23563
3.87673,0.23693
3.88341,0.23887
3.89008,0.24091
3.89676,0.24263
3.90344,0.24452
3.91011,0.24563
3.91679,0.24179
3.92347,NaN
3.93015,NaN
3.93682,NaN
