wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.41459,0.23841,0.23860,0.23970,0.23883,0.23949,0.24024,0.23933,0.23978,0.24070
1.42116,0.23983,0.24046,0.24141,0.24063,0.24105,0.24156,0.24076,0.24163,0.24233
1.42773,0.23071,0.23137,0.23224,0.23126,0.23196,0.23251,0.23167,0.23234,0.23331
1.43431,0.22101,0.22146,0.22300,0.22170,0.22197,0.22312,0.22176,0.22217,0.22357
1.44088,0.22212,0.22234,0.22331,0.22253,0.22268,0.22325,0.22253,0.22248,0.22372
1.44745,0.23187,0.23233,0.23342,0.23261,0.23264,0.23315,0.23258,0.23274,0.23406
1.45402,0.23936,0.23969,0.24090,0.23986,0.24045,0.24096,0.23997,0.24046,0.24195
1.46059,0.24249,0.24238,0.24404,0.24308,0.24339,0.24379,0.24336,0.24335,0.24478
1.46716,0.24134,0.24092,0.24308,0.24182,0.24209,0.24317,0.24222,0.24224,0.24398
1.47374,0.24096,0.24055,0.24233,0.24118,0.24156,0.24183,0.24138,0.24152,0.24315
1.48031,0.24117,0.24097,0.24307,0.24133,0.24195,0.24243,0.24185,0.24208,0.24327
1.48688,0.24129,0.24054,0.24256,0.24139,0.24173,0.24230,0.24147,0.24166,0.24318
1.49346,0.24278,0.24191,0.24412,0.24296,0.24292,0.24381,0.24283,0.24285,0.24451
1.50003,0.24211,0.24135,0.24376,0.24245,0.24255,0.24311,0.24260,0.24264,0.24386
1.50661,0.24502,0.24416,0.24644,0.24511,0.24515,0.24612,0.24493,0.24538,0.24662
1.51318,0.24637,0.24575,0.24788,0.24637,0.24641,0.24718,0.24624,0.24657,0.24744
1.51976,0.24461,0.24415,0.24632,0.24488,0.24494,0.24609,0.24476,0.24496,0.24644
1.52633,0.24153,0.24121,0.24356,0.24202,0.24212,0.24343,0.24227,0.24235,0.24348
1.53291,0.24055,0.24050,0.24224,0.24098,0.24093,0.24204,0.24099,0.24144,0.24223
1.53948,0.24368,0.24356,0.24535,0.24392,0.24391,0.24534,0.24397,0.24471,0.24548
1.54606,0.24667,0.24678,0.24864,0.24739,0.24723,0.24819,0.24734,0.24782,0.24833
1.55264,0.24766,0.24760,0.24973,0.24860,0.24839,0.24971,0.24850,0.24890,0.24962
1.55921,0.24595,0.24552,0.24730,0.24633,0.24600,0.24743,0.24658,0.24664,0.24751
1.56579,0.23842,0.23791,0.23941,0.23851,0.23822,0.23931,0.23883,0.23885,0.23905
1.57237,0.23113,0.23123,0.23315,0.23165,0.23193,0.23302,0.23186,0.23222,0.23289
1.57895,0.23836,0.23797,0.23963,0.23848,0.23842,0.23962,0.23878,0.23914,0.23950
1.58552,0.24367,0.24353,0.24568,0.24429,0.24436,0.24566,0.24463,0.24489,0.24553
1.59210,0.24249,0.24222,0.24429,0.24275,0.24269,0.24405,0.24326,0.24344,0.24426
1.59868,0.23729,0.23678,0.23866,0.23734,0.23728,0.23825,0.23750,0.23752,0.23807
1.60526,0.23441,0.23413,0.23605,0.23484,0.23463,0.23550,0.23495,0.23513,0.23583
1.61184,0.23710,0.23670,0.23854,0.23766,0.23745,0.23825,0.23776,0.23788,0.23848
1.61842,0.24208,0.24166,0.24363,0.24253,0.24232,0.24324,0.24226,0.24250,0.24350
1.62500,0.24498,0.24448,0.24654,0.24550,0.24521,0.24582,0.24588,0.24562,0.24601
1.63158,0.24539,0.24488,0.24734,0.24612,0.24611,0.24678,0.24613,0.24635,0.24696
1.63816,0.24584,0.24506,0.24660,0.24627,0.24599,0.24632,0.24627,0.24631,0.24686
1.64474,0.24657,0.24583,0.24815,0.24690,0.24648,0.24744,0.24709,0.24652,0.24782
1.65133,0.24965,0.24754,0.24896,0.24861,0.24790,0.24850,0.24848,0.24816,0.24927
1.65791,0.24858,0.24734,0.24884,0.24872,0.24819,0.24874,0.24847,0.24858,0.24937
1.66449,0.24934,0.24873,0.25053,0.24960,0.24925,0.25035,0.24994,0.24949,0.25058
1.67107,0.24882,0.24804,0.25017,0.24906,0.24891,0.24981,0.24934,0.24926,0.25029
1.67766,0.25056,0.24977,0.25159,0.25072,0.25046,0.25142,0.25096,0.25077,0.25165
1.68424,0.24952,0.24877,0.25116,0.25002,0.25006,0.25111,0.25069,0.25055,0.25137
1.69082,0.25026,0.24946,0.25171,0.25051,0.25053,0.25154,0.25113,0.25118,0.25202
1.69741,0.25142,0.25076,0.25318,0.25182,0.25171,0.25270,0.25210,0.25202,0.25280
1.70399,0.25260,0.25189,0.25396,0.25280,0.25279,0.25364,0.25314,0.25307,0.25388
1.71058,0.25257,0.25164,0.25427,0.25266,0.25312,0.25404,0.25355,0.25365,0.25407
1.71716,0.25358,0.25291,0.25518,0.25383,0.25391,0.25437,0.25442,0.25406,0.25453
1.72375,0.25371,0.25323,0.25515,0.25373,0.25431,0.25480,0.25433,0.25437,0.25486
1.73033,0.25392,0.25325,0.25552,0.25396,0.25420,0.25493,0.25435,0.25460,0.25515
1.73692,0.25383,0.25349,0.25550,0.25382,0.25470,0.25527,0.25452,0.25503,0.25554
1.74351,0.25463,0.25402,0.25628,0.25497,0.25536,0.25593,0.25562,0.25577,0.25623
1.75009,0.25473,0.25414,0.25633,0.25443,0.25470,0.25548,0.25587,0.25603,0.25607
1.75668,0.25491,0.25444,0.25662,0.25503,0.25540,0.25579,0.25546,0.25587,0.25606
1.76327,0.25490,0.25471,0.25660,0.25503,0.25526,0.25592,0.25538,0.25576,0.25634
1.76985,0.25517,0.25481,0.25686,0.25528,0.25558,0.25603,0.25558,0.25609,0.25652
1.77644,0.25552,0.25538,0.25717,0.25572,0.25587,0.25626,0.25601,0.25631,0.25648
1.78303,0.25554,0.25502,0.25706,0.25585,0.25593,0.25665,0.25622,0.25666,0.25696
1.78962,0.25555,0.25498,0.25725,0.25567,0.25543,0.25631,0.25617,0.25653,0.25686
1.79621,0.25547,0.25493,0.25694,0.25585,0.25553,0.25643,0.25588,0.25605,0.25661
