wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
1.00135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.00790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.01445,0.24041,0.23944,0.24009,0.24050,0.23927,0.23991,0.23961,0.23901,0.23922
1.02100,0.24105,0.24019,0.24037,0.24044,0.23866,0.23968,0.23967,0.23859,0.23888
1.02755,0.23507,0.23430,0.23467,0.23472,0.23322,0.23366,0.23416,0.23329,0.23298
1.03410,0.23749,0.23654,0.23681,0.23664,0.23524,0.23578,0.23616,0.23505,0.23503
1.04065,0.23655,0.23589,0.23659,0.23539,0.23441,0.23509,0.23514,0.23375,0.23427
1.04720,0.23506,0.23411,0.23495,0.23396,0.23286,0.23341,0.23342,0.23198,0.23260
1.05375,0.23574,0.23486,0.23534,0.23464,0.23346,0.23359,0.23433,0.23266,0.23317
1.06030,0.23684,0.23578,0.23658,0.23568,0.23461,0.23481,0.23515,0.23366,0.23464
1.06685,0.23629,0.23587,0.23686,0.23512,0.23463,0.23493,0.23489,0.23335,0.23411
1.07341,0.23684,0.23598,0.23672,0.23573,0.23487,0.23507,0.23530,0.23378,0.23453
1.07996,0.23546,0.23464,0.23535,0.23446,0.23341,0.23367,0.23406,0.23256,0.23308
1.08651,0.23650,0.23598,0.23688,0.23548,0.23465,0.23517,0.23483,0.23350,0.23449
1.09307,0.23792,0.23729,0.23785,0.23655,0.23594,0.23629,0.23615,0.23509,0.23583
1.09962,0.23994,0.23932,0.23969,0.23893,0.23773,0.23776,0.23812,0.23669,0.23694
1.10617,0.24048,0.23978,0.24017,0.23947,0.23842,0.23869,0.23876,0.23759,0.23790
1.11273,0.23852,0.23819,0.23906,0.23792,0.23691,0.23746,0.23701,0.23597,0.23643
1.11928,0.23885,0.23782,0.23829,0.23844,0.23678,0.23689,0.23738,0.23603,0.23621
1.12584,0.23962,0.23890,0.23904,0.23865,0.23744,0.23752,0.23773,0.23658,0.23655
1.13239,0.23964,0.23879,0.23922,0.23886,0.23750,0.23780,0.23773,0.23649,0.23688
1.13895,0.23968,0.23879,0.23944,0.23901,0.23774,0.23821,0.23818,0.23702,0.23724
1.14551,0.24033,0.23963,0.24017,0.23956,0.23850,0.23889,0.23875,0.23745,0.23795
1.15206,0.24189,0.24131,0.24144,0.24087,0.23998,0.24002,0.23950,0.23818,0.23830
1.15862,0.24217,0.24104,0.24110,0.24115,0.23971,0.23952,0.23972,0.23821,0.23844
1.16518,0.24258,0.24156,0.24164,0.24175,0.24018,0.24010,0.24050,0.23893,0.23934
1.17173,0.24268,0.24143,0.24183,0.24168,0.24046,0.24032,0.24062,0.23937,0.23933
1.17829,0.24162,0.24068,0.24095,0.24071,0.23939,0.23938,0.23950,0.23816,0.23851
1.18485,0.24188,0.24058,0.24083,0.24117,0.23954,0.23913,0.23973,0.23859,0.23857
1.19141,0.24303,0.24188,0.24223,0.24257,0.24118,0.24085,0.24095,0.23973,0.23999
1.19797,0.24038,0.23938,0.23954,0.23940,0.23822,0.23800,0.23821,0.23695,0.23707
1.20453,0.23690,0.23603,0.23667,0.23628,0.23500,0.23487,0.23545,0.23403,0.23399
1.21109,0.23925,0.23826,0.23859,0.23804,0.23706,0.23700,0.23697,0.23563,0.23585
1.21765,0.23813,0.23743,0.23781,0.23707,0.23598,0.23589,0.23626,0.23485,0.23498
1.22421,0.23850,0.23789,0.23841,0.23742,0.23684,0.23682,0.23693,0.23568,0.23575
1.23077,0.24064,0.23944,0.23965,0.23932,0.23825,0.23816,0.23863,0.23720,0.23761
1.23733,0.24277,0.24194,0.24208,0.24134,0.24044,0.24054,0.24048,0.23905,0.23922
1.24389,0.24351,0.24230,0.24280,0.24207,0.24122,0.24137,0.24173,0.24043,0.24037
1.25045,0.24405,0.24346,0.24362,0.24284,0.24215,0.24215,0.24219,0.24102,0.24131
1.25701,0.24392,0.24325,0.24346,0.24265,0.24169,0.24205,0.24206,0.24050,0.24079
1.26357,0.24403,0.24358,0.24384,0.24310,0.24240,0.24278,0.24233,0.24111,0.24145
1.27014,0.24682,0.24581,0.24632,0.24585,0.24478,0.24518,0.24511,0.24373,0.24382
1.27670,0.24604,0.24533,0.24572,0.24515,0.24388,0.24447,0.24420,0.24286,0.24317
1.28326,0.24552,0.24472,0.24536,0.24510,0.24376,0.24403,0.24375,0.24253,0.24256
1.28983,0.24599,0.24499,0.24563,0.24531,0.24379,0.24420,0.24390,0.24275,0.24296
1.29639,0.24652,0.24562,0.24620,0.24608,0.24470,0.24503,0.24452,0.24320,0.24324
1.30295,0.24736,0.24644,0.24712,0.24697,0.24538,0.24565,0.24547,0.24410,0.24452
1.30952,0.24550,0.24453,0.24524,0.24499,0.24368,0.24412,0.24418,0.24275,0.24279
