wavelength[μm],reflectance
3.15804,0.08828
3.16468,0.09104
3.17131,0.09338
3.17795,0.09534
3.18458,0.09692
3.19122,0.0988
3.19785,0.10089
3.20449,0.10314
3.21113,0.10505
3.21776,0.1073
3.22440,0.11007
3.23104,0.1128
3.23768,0.11574
3.24432,0.11918
3.25096,0.12213
3.25760,0.12373
3.26424,0.12493
3.27088,0.12708
3.27752,0.13014
3.28416,0.13407
3.29080,0.13809
3.29744,0.14049
3.30408,0.14294
3.31073,0.14636
3.31737,0.14935
3.32401,0.15239
3.33066,0.15548
3.33730,0.15885
3.34395,0.16103
3.35059,0.1627
3.35724,0.16547
3.36388,0.16825
3.37053,0.1713
3.37717,0.17435
3.38382,0.17717
3.39047,0.17986
3.39712,0.18266
3.40376,0.18581
3.41041,0.1886
3.41706,0.19063
3.42371,0.19404
3.43036,0.19769
3.43701,0.1998
3.44366,0.20083
3.45031,0.20308
3.45696,0.20623
3.46361,0.2083
3.47026,0.21013
3.47692,0.21378
3.48357,0.21773
3.49022,0.21942
3.49687,0.22138
3.50353,0.22554
3.51018,0.22906
3.51684,0.23143
3.52349,0.23588
3.53015,0.24241
3.53680,0.2457
3.54346,0.24676
3.55011,0.25032
3.55677,0.25626
3.56343,0.25922
3.57008,0.26062
3.57674,0.26454
3.58340,0.26941
3.59006,0.27112
3.59672,0.27111
3.60338,0.27379
3.61004,0.27724
3.61670,0.27831
3.62336,0.27841
3.63002,0.2826
3.63668,0.28728
3.64334,0.28825
3.65000,0.28741
3.65667,0.29025
3.66333,0.29523
3.66999,0.29541
3.67665,0.29292
3.68332,0.29541
3.68998,0.3015
3.69665,0.30317
3.70331,0.29889
3.70998,0.29774
3.71664,0.3027
3.72331,0.30536
3.72998,0.30214
3.73664,0.3005
3.74331,0.30517
3.74998,0.30873
3.75665,0.30546
3.76331,0.30108
3.76998,0.30268
3.77665,0.30788
3.78332,0.30691
3.78999,0.30078
3.79666,0.29767
3.80333,0.30133
3.81000,0.30358
3.81667,0.29884
3.82335,0.29451
3.83002,0.29587
3.83669,0.30076
3.84336,0.30013
3.85004,0.29364
3.85671,0.29
3.86339,0.29158
3.87006,0.29606
3.87673,0.29671
3.88341,0.29574
3.89008,0.29853
3.89676,0.30477
3.90344,0.31169
3.91011,0.31369
3.91679,0.31034
3.92347,NaN
3.93015,NaN
3.93682,NaN
