wavelength[μm],reflectance1,reflectance2,reflectance3,reflectance4,reflectance5,reflectance6,reflectance7,reflectance8,reflectance9
2.10627,0.28221,0.28515,0.28827,0.28196,0.28512,0.28798,0.28243,0.28351,0.28694
2.11287,0.28705,0.28966,0.29274,0.28643,0.28971,0.29232,0.28745,0.28835,0.29175
2.11948,0.29246,0.29505,0.29781,0.29230,0.29520,0.29728,0.29262,0.29383,0.29685
2.12608,0.29532,0.29791,0.30092,0.29522,0.29829,0.30081,0.29571,0.29663,0.29989
2.13269,0.29520,0.29824,0.30117,0.29507,0.29840,0.30110,0.29531,0.29675,0.30014
2.13930,0.29227,0.29533,0.29851,0.29241,0.29510,0.29749,0.29318,0.29355,0.29697
2.14590,0.29078,0.29393,0.29655,0.29121,0.29410,0.29622,0.29178,0.29238,0.29535
2.15251,0.29069,0.29330,0.29605,0.29093,0.29359,0.29580,0.29129,0.29225,0.29535
2.15912,0.29149,0.29470,0.29755,0.29175,0.29450,0.29685,0.29238,0.29339,0.29637
2.16572,0.29502,0.29805,0.30110,0.29555,0.29791,0.30034,0.29559,0.29670,0.29990
2.17233,0.29759,0.30085,0.30392,0.29805,0.30085,0.30353,0.29828,0.29921,0.30292
2.17894,0.29758,0.30119,0.30419,0.29823,0.30104,0.30331,0.29875,0.30008,0.30309
2.18555,0.29835,0.30153,0.30469,0.29864,0.30149,0.30403,0.29914,0.30036,0.30400
2.19216,0.29890,0.30268,0.30566,0.29948,0.30245,0.30483,0.29958,0.30088,0.30423
2.19877,0.29892,0.30244,0.30534,0.29962,0.30231,0.30463,0.29959,0.30073,0.30441
2.20538,0.29909,0.30284,0.30596,0.29937,0.30250,0.30506,0.29940,0.30107,0.30479
2.21199,0.30029,0.30359,0.30658,0.30044,0.30359,0.30611,0.30024,0.30183,0.30581
2.21860,0.30035,0.30371,0.30686,0.30087,0.30364,0.30629,0.30107,0.30255,0.30630
2.22521,0.30055,0.30380,0.30685,0.30113,0.30391,0.30670,0.30101,0.30248,0.30641
2.23182,0.30111,0.30436,0.30741,0.30150,0.30442,0.30738,0.30125,0.30299,0.30697
2.23843,0.30111,0.30449,0.30784,0.30193,0.30468,0.30763,0.30221,0.30342,0.30699
2.24504,0.30186,0.30553,0.30846,0.30204,0.30529,0.30822,0.30240,0.30402,0.30755
2.25165,0.30206,0.30526,0.30818,0.30236,0.30482,0.30784,0.30233,0.30345,0.30707
2.25827,0.30107,0.30472,0.30825,0.30183,0.30467,0.30774,0.30227,0.30335,0.30675
2.26488,0.30169,0.30471,0.30749,0.30194,0.30475,0.30759,0.30174,0.30356,0.30691
2.27149,0.30244,0.30599,0.30923,0.30288,0.30564,0.30875,0.30331,0.30423,0.30784
2.27810,0.30307,0.30639,0.30860,0.30339,0.30615,0.30838,0.30340,0.30479,0.30859
2.28472,0.30303,0.30680,0.31012,0.30356,0.30633,0.30918,0.30393,0.30517,0.30868
2.29133,0.30429,0.30772,0.31057,0.30470,0.30733,0.31017,0.30485,0.30598,0.30982
