wavelength[μm],reflectance
3.15804,0.00969
3.16468,0.01012
3.17131,0.01084
3.17795,0.01128
3.18458,0.01129
3.19122,0.01144
3.19785,0.0121
3.20449,0.01322
3.21113,0.01378
3.21776,0.01426
3.22440,0.0145
3.23104,0.01389
3.23768,0.01324
3.24432,0.01318
3.25096,0.01354
3.25760,0.01413
3.26424,0.01469
3.27088,0.01539
3.27752,0.01607
3.28416,0.01686
3.29080,0.01732
3.29744,0.01714
3.30408,0.01727
3.31073,0.01751
3.31737,0.01752
3.32401,0.01779
3.33066,0.01826
3.33730,0.01869
3.34395,0.01913
3.35059,0.01982
3.35724,0.02047
3.36388,0.02078
3.37053,0.0209
3.37717,0.02149
3.38382,0.02207
3.39047,0.02237
3.39712,0.02342
3.40376,0.02442
3.41041,0.02527
3.41706,0.02568
3.42371,0.02597
3.43036,0.02653
3.43701,0.02818
3.44366,0.02859
3.45031,0.02759
3.45696,0.02859
3.46361,0.02875
3.47026,0.02916
3.47692,0.02991
3.48357,0.03034
3.49022,0.0301
3.49687,0.03012
3.50353,0.03126
3.51018,0.032
3.51684,0.03288
3.52349,0.03412
3.53015,0.03554
3.53680,0.03635
3.54346,0.03678
3.55011,0.03717
3.55677,0.03772
3.56343,0.03813
3.57008,0.0388
3.57674,0.03969
3.58340,0.04054
3.59006,0.04165
3.59672,0.04263
3.60338,0.04241
3.61004,0.0422
3.61670,0.04242
3.62336,0.04293
3.63002,0.04317
3.63668,0.04416
3.64334,0.04868
3.65000,0.04755
3.65667,0.04759
3.66333,0.04728
3.66999,0.04645
3.67665,0.04578
3.68332,0.04615
3.68998,0.04683
3.69665,0.04688
3.70331,0.04666
3.70998,0.04712
3.71664,0.04717
3.72331,0.04605
3.72998,0.04632
3.73664,0.04821
3.74331,0.04999
3.74998,0.05042
3.75665,0.04902
3.76331,0.04758
3.76998,0.04834
3.77665,0.04986
3.78332,0.05103
3.78999,0.05133
3.79666,0.05147
3.80333,0.05074
3.81000,0.04946
3.81667,0.04809
3.82335,0.04777
3.83002,0.04979
3.83669,0.05216
3.84336,0.05183
3.85004,0.05022
3.85671,0.04953
3.86339,0.04976
3.87006,0.04976
3.87673,0.0505
3.88341,0.0515
3.89008,0.05227
3.89676,0.05287
3.90344,0.05416
3.91011,0.05505
3.91679,0.05382
3.92347,0.06155
3.93015,NaN
3.93682,NaN
