wavelength[μm],reflectance
3.15804,0.06403
3.16468,0.06571
3.17131,0.06701
3.17795,0.06845
3.18458,0.06977
3.19122,0.07137
3.19785,0.0732
3.20449,0.07497
3.21113,0.0767
3.21776,0.07842
3.22440,0.08022
3.23104,0.08212
3.23768,0.084
3.24432,0.08618
3.25096,0.08852
3.25760,0.09007
3.26424,0.09154
3.27088,0.09321
3.27752,0.09579
3.28416,0.09891
3.29080,0.10165
3.29744,0.10419
3.30408,0.10659
3.31073,0.10894
3.31737,0.11116
3.32401,0.11324
3.33066,0.11527
3.33730,0.11734
3.34395,0.11956
3.35059,0.12151
3.35724,0.12329
3.36388,0.12522
3.37053,0.12728
3.37717,0.1293
3.38382,0.13153
3.39047,0.13366
3.39712,0.136
3.40376,0.13851
3.41041,0.14042
3.41706,0.14235
3.42371,0.14349
3.43036,0.14574
3.43701,0.1479
3.44366,0.1492
3.45031,0.1503
3.45696,0.15161
3.46361,0.15349
3.47026,0.15604
3.47692,0.15877
3.48357,0.1607
3.49022,0.16208
3.49687,0.16328
3.50353,0.16534
3.51018,0.16842
3.51684,0.17187
3.52349,0.17524
3.53015,0.17834
3.53680,0.18059
3.54346,0.18315
3.55011,0.18689
3.55677,0.1904
3.56343,0.19278
3.57008,0.19467
3.57674,0.19544
3.58340,0.19757
3.59006,0.19862
3.59672,0.19981
3.60338,0.20228
3.61004,0.20377
3.61670,0.204
3.62336,0.20477
3.63002,0.20806
3.63668,0.21115
3.64334,0.21262
3.65000,0.21354
3.65667,0.21533
3.66333,0.21659
3.66999,0.21526
3.67665,0.21755
3.68332,0.21984
3.68998,0.22252
3.69665,0.22353
3.70331,0.22363
3.70998,0.22431
3.71664,0.22503
3.72331,0.22435
3.72998,0.22353
3.73664,0.22394
3.74331,0.22588
3.74998,0.22626
3.75665,0.22492
3.76331,0.22376
3.76998,0.22348
3.77665,0.22323
3.78332,0.22153
3.78999,0.21969
3.79666,0.21971
3.80333,0.22082
3.81000,0.22099
3.81667,0.21927
3.82335,0.21844
3.83002,0.21943
3.83669,0.2202
3.84336,0.21885
3.85004,0.21605
3.85671,0.21465
3.86339,0.21552
3.87006,0.21816
3.87673,0.21933
3.88341,0.21961
3.89008,0.22034
3.89676,0.22337
3.90344,0.22701
3.91011,0.22814
3.91679,0.22275
3.92347,NaN
3.93015,NaN
3.93682,NaN
